Well	Well Position	Omit	Sample Name	Target Name	Task	Reporter	Quencher	CT	Ct Mean	Ct SD	Quantity	Quantity Mean	Quantity SD	Automatic Ct Threshold	Ct Threshold	Automatic Baseline	Baseline Start	Baseline End	Comments	Y-Intercept	R(superscript 2)	Slope	Efficiency	Amp Score	Cq Conf	NOAMP	EXPFAIL	THOLDFAIL	PRFDROP
91	D19	false	10^5	stec_stx1	UNKNOWN	FAM	NFQ-MGB	20.855	20.855					true	0.244	true	1	45						1.377	0.984	N	N	Y	N
92	D20	false	10^5	IPC	UNKNOWN	VIC	NFQ-MGB	26.256	26.256					true	0.040	true	1	45						1.054	0.890	N	N	Y	N
92	D20	false	10^5	stec_stx2	UNKNOWN	FAM	NFQ-MGB	19.839	19.839					true	0.152	true	1	45						1.277	0.966	N	N	Y	N
93	D21	false	10^5	IPC	UNKNOWN	VIC	NFQ-MGB	27.074	27.074					true	0.040	true	1	45						0.953	0.777	N	N	Y	N
93	D21	false	10^5	strongyloides_stercolaris	UNKNOWN	FAM	NFQ-MGB	18.922	18.922					true	0.317	true	1	45						1.418	0.941	N	N	Y	N
94	D22	false	10^5	IPC	UNKNOWN	VIC	NFQ-MGB	27.858	27.858					true	0.040	true	1	45						0.939	0.878	N	N	Y	N
94	D22	false	10^5	tichuris_trichuira	UNKNOWN	FAM	NFQ-MGB	20.010	20.010					true	0.400	true	1	45						1.456	0.983	N	N	Y	N
95	D23	false	10^5	IPC	UNKNOWN	VIC	NFQ-MGB	26.941	26.941					true	0.040	true	1	45						1.049	0.902	N	N	Y	N
95	D23	false	10^5	yersinia_enterocolitica	UNKNOWN	FAM	NFQ-MGB	18.450	18.450					true	0.115	true	1	45						1.190	0.851	N	N	Y	N
96	D24	false	10^5	IPC	UNKNOWN	VIC	NFQ-MGB	26.659	26.659					true	0.040	true	1	45						1.058	0.885	N	N	Y	N
96	D24	false	10^5	zika	UNKNOWN	FAM	NFQ-MGB	23.916	23.916					true	0.260	true	1	45						1.341	0.951	N	N	Y	N
97	E1	false	10^4	16s	UNKNOWN	FAM	NFQ-MGB	19.398	19.398					true	0.042	true	1	45						1.017	0.680	N	N	Y	N
97	E1	false	10^4	IPC	UNKNOWN	VIC	NFQ-MGB	27.150	27.150					true	0.040	true	1	45						1.060	0.874	N	N	Y	N
98	E2	false	10^4	IPC	UNKNOWN	VIC	NFQ-MGB	25.885	25.885					true	0.040	true	1	45						1.054	0.905	N	N	Y	N
98	E2	false	10^4	acanthamoeba_spp	UNKNOWN	FAM	NFQ-MGB	19.399	19.399					true	0.170	true	1	45						1.260	0.816	N	N	Y	N
99	E3	false	10^4	IPC	UNKNOWN	VIC	NFQ-MGB	26.595	26.595					true	0.040	true	1	45						1.067	0.914	N	N	Y	N
99	E3	false	10^4	adenovirus_40_41	UNKNOWN	FAM	NFQ-MGB	19.255	19.255					true	0.102	true	1	45						1.097	0.630	N	N	Y	N
100	E4	false	10^4	IPC	UNKNOWN	VIC	NFQ-MGB	26.418	26.418					true	0.040	true	1	45						0.996	0.932	N	N	Y	N
100	E4	false	10^4	anclyostoma_duoenale	UNKNOWN	FAM	NFQ-MGB	22.310	22.310					true	0.232	true	1	45						1.367	0.986	N	N	Y	N
101	E5	false	10^4	IPC	UNKNOWN	VIC	NFQ-MGB	26.811	26.811					true	0.040	true	1	45						1.077	0.893	N	N	Y	N
101	E5	false	10^4	ascaris_lumbricoides	UNKNOWN	FAM	NFQ-MGB	23.931	23.931					true	0.040	true	1	45						0.494	0.322	N	N	Y	N
102	E6	false	10^4	IPC	UNKNOWN	VIC	NFQ-MGB	26.668	26.668					true	0.040	true	1	45						1.077	0.912	N	N	Y	N
102	E6	false	10^4	astrovirus	UNKNOWN	FAM	NFQ-MGB	29.194	29.194					true	0.246	true	1	45						1.232	0.956	N	N	Y	N
103	E7	false	10^4	IPC	UNKNOWN	VIC	NFQ-MGB	27.093	27.093					true	0.040	true	1	45						1.005	0.796	N	N	Y	N
103	E7	false	10^4	balantidium_coli	UNKNOWN	FAM	NFQ-MGB	19.569	19.569					true	0.411	true	1	45						1.466	0.992	N	N	Y	N
104	E8	false	10^4	IPC	UNKNOWN	VIC	NFQ-MGB	26.500	26.500					true	0.040	true	1	45						1.060	0.885	N	N	Y	N
104	E8	false	10^4	bhv	UNKNOWN	FAM	NFQ-MGB	19.691	19.691					true	0.054	true	1	45						0.959	0.678	N	N	Y	N
105	E9	false	10^4	IPC	UNKNOWN	VIC	NFQ-MGB	26.711	26.711					true	0.040	true	1	45						1.031	0.912	N	N	Y	N
105	E9	false	10^4	blastocystis_spp	UNKNOWN	FAM	NFQ-MGB	20.016	20.016					true	0.106	true	1	45						1.086	0.901	N	N	Y	N
106	E10	false	10^4	IPC	UNKNOWN	VIC	NFQ-MGB	26.733	26.733					true	0.040	true	1	45						1.095	0.909	N	N	Y	N
106	E10	false	10^4	brsv	UNKNOWN	FAM	NFQ-MGB	27.472	27.472					true	0.309	true	1	45						1.360	0.963	N	N	Y	N
107	E11	false	10^4	18s	UNKNOWN	FAM	NFQ-MGB	33.169	33.169					true	0.153	true	1	45						1.238	0.967	N	N	Y	N
107	E11	false	10^4	IPC	UNKNOWN	VIC	NFQ-MGB	26.631	26.631					true	0.040	true	1	45						1.074	0.856	N	N	Y	N
108	E12	false	10^4	IPC	UNKNOWN	VIC	NFQ-MGB	26.356	26.356					true	0.040	true	1	45						1.054	0.900	N	N	Y	N
108	E12	false	10^4	c_jejuni_c_coli	UNKNOWN	FAM	NFQ-MGB	19.375	19.375					true	0.203	true	1	45						1.333	0.970	N	N	Y	N
109	E13	false	10^4	IPC	UNKNOWN	VIC	NFQ-MGB	27.421	27.421					true	0.040	true	1	45						0.928	0.707	N	N	Y	N
109	E13	false	10^4	clostridium_difficile	UNKNOWN	FAM	NFQ-MGB	19.791	19.791					true	0.162	true	1	45						1.333	0.975	N	N	Y	N
110	E14	false	10^4	IPC	UNKNOWN	VIC	NFQ-MGB	26.501	26.501					true	0.040	true	1	45						1.056	0.906	N	N	Y	N
110	E14	false	10^4	cryptosporidium_spp	UNKNOWN	FAM	NFQ-MGB	18.218	18.218					true	0.133	true	1	45						1.196	0.933	N	N	Y	N
111	E15	false	10^4	IPC	UNKNOWN	VIC	NFQ-MGB	25.066	25.066					true	0.040	true	1	45						1.081	0.948	N	N	Y	N
111	E15	false	10^4	cyclospora_cayetanesis	UNKNOWN	FAM	NFQ-MGB	21.154	21.154					true	0.228	true	1	45						1.285	0.965	N	N	Y	N
112	E16	false	10^4	IPC	UNKNOWN	VIC	NFQ-MGB	26.655	26.655					true	0.040	true	1	45						1.067	0.929	N	N	Y	N
112	E16	false	10^4	e_coli_ybbW	UNKNOWN	FAM	NFQ-MGB	29.340	29.340					true	0.289	true	1	45						1.349	0.977	N	N	Y	N
113	E17	false	10^4	IPC	UNKNOWN	VIC	NFQ-MGB	28.050	28.050					true	0.040	true	1	45						0.710	0.539	N	N	Y	N
113	E17	false	10^4	e_coli_0157H7	UNKNOWN	FAM	NFQ-MGB	19.972	19.972					true	0.192	true	1	45						1.367	0.958	N	N	Y	N
114	E18	false	10^4	IPC	UNKNOWN	VIC	NFQ-MGB	26.499	26.499					true	0.040	true	1	45						1.069	0.940	N	N	Y	N
114	E18	false	10^4	eaec_aaic	UNKNOWN	FAM	NFQ-MGB	19.877	19.877					true	0.115	true	1	45						1.206	0.944	N	N	Y	N
115	E19	false	10^4	IPC	UNKNOWN	VIC	NFQ-MGB	27.198	27.198					true	0.040	true	1	45						1.011	0.923	N	N	Y	N
115	E19	false	10^4	eaec_aata	UNKNOWN	FAM	NFQ-MGB	16.632	16.632					true	0.040	true	1	45						0.998	0.799	N	N	Y	N
116	E20	false	10^4	IPC	UNKNOWN	VIC	NFQ-MGB	26.705	26.705					true	0.040	true	1	45						1.061	0.950	N	N	Y	N
116	E20	false	10^4	entamoeba_histolytica	UNKNOWN	FAM	NFQ-MGB	22.741	22.741					true	0.208	true	1	45						1.202	0.895	N	N	Y	N
117	E21	false	10^4	IPC	UNKNOWN	VIC	NFQ-MGB	26.540	26.540					true	0.040	true	1	45						1.031	0.937	N	N	Y	N
117	E21	false	10^4	enterobius_verminularis	UNKNOWN	FAM	NFQ-MGB	21.293	21.293					true	0.356	true	1	45						1.394	0.969	N	N	Y	N
118	E22	false	10^4	IPC	UNKNOWN	VIC	NFQ-MGB	26.644	26.644					true	0.040	true	1	45						1.067	0.930	N	N	Y	N
118	E22	false	10^4	enterococcus_spp	UNKNOWN	FAM	NFQ-MGB	22.913	22.913					true	0.253	true	1	45						1.303	0.961	N	N	Y	N
119	E23	false	10^4	IPC	UNKNOWN	VIC	NFQ-MGB	27.097	27.097					true	0.040	true	1	45						1.005	0.910	N	N	Y	N
119	E23	false	10^4	epec_bfpa	UNKNOWN	FAM	NFQ-MGB	21.025	21.025					true	0.158	true	1	45						1.234	0.878	N	N	Y	N
120	E24	false	10^4	IPC	UNKNOWN	VIC	NFQ-MGB	26.089	26.089					true	0.040	true	1	45						1.047	0.961	N	N	Y	N
120	E24	false	10^4	epec_eae	UNKNOWN	FAM	NFQ-MGB	23.272	23.272					true	0.223	true	1	45						1.297	0.979	N	N	Y	N
121	F1	false	10^4	IPC	UNKNOWN	VIC	NFQ-MGB	27.131	27.131					true	0.040	true	1	45						0.916	0.863	N	N	Y	N
121	F1	false	10^4	etec_lt	UNKNOWN	FAM	NFQ-MGB	21.904	21.904					true	0.203	true	1	45						1.357	0.985	N	N	Y	N
122	F2	false	10^4	IPC	UNKNOWN	VIC	NFQ-MGB	26.237	26.237					true	0.040	true	1	45						1.053	0.870	N	N	Y	N
122	F2	false	10^4	etec_sth	UNKNOWN	FAM	NFQ-MGB	22.906	22.906					true	0.221	true	1	45						1.352	0.988	N	N	Y	N
123	F3	false	10^4	IPC	UNKNOWN	VIC	NFQ-MGB	26.319	26.319					true	0.040	true	1	45						1.058	0.848	N	N	Y	N
123	F3	false	10^4	etec_stp	UNKNOWN	FAM	NFQ-MGB	20.874	20.874					true	0.063	true	1	45						1.143	0.897	N	N	Y	N
124	F4	false	10^4	IPC	UNKNOWN	VIC	NFQ-MGB	26.515	26.515					true	0.040	true	1	45						1.037	0.881	N	N	Y	N
124	F4	false	10^4	giardia_spp	UNKNOWN	FAM	NFQ-MGB	21.853	21.853					true	0.191	true	1	45						1.276	0.768	N	N	Y	N
125	F5	false	10^4	IPC	UNKNOWN	VIC	NFQ-MGB	26.381	26.381					true	0.040	true	1	45						1.078	0.846	N	N	Y	N
125	F5	false	10^4	helicobactor_pylori	UNKNOWN	FAM	NFQ-MGB	21.962	21.962					true	0.162	true	1	45						1.258	0.825	N	N	Y	N
126	F6	false	10^4	IPC	UNKNOWN	VIC	NFQ-MGB	26.810	26.810					true	0.040	true	1	45						1.089	0.908	N	N	Y	N
126	F6	false	10^4	hep_a	UNKNOWN	FAM	NFQ-MGB	26.961	26.961					true	0.152	true	1	45						1.229	0.867	N	N	Y	N
127	F7	false	10^4	IPC	UNKNOWN	VIC	NFQ-MGB	26.824	26.824					true	0.040	true	1	45						1.094	0.893	N	N	Y	N
127	F7	false	10^4	hep_g	UNKNOWN	FAM	NFQ-MGB	27.411	27.411					true	0.255	true	1	45						1.345	0.985	N	N	Y	N
128	F8	false	10^4	IPC	UNKNOWN	VIC	NFQ-MGB	26.503	26.503					true	0.040	true	1	45						1.067	0.906	N	N	Y	N
128	F8	false	10^4	hf183	UNKNOWN	FAM	NFQ-MGB	22.600	22.600					true	0.192	true	1	45						1.301	0.932	N	N	Y	N
129	F9	false	10^4	IPC	UNKNOWN	VIC	NFQ-MGB	25.944	25.944					true	0.040	true	1	45						1.089	0.913	N	N	Y	N
129	F9	false	10^4	human_mtdna	UNKNOWN	FAM	NFQ-MGB	22.295	22.295					true	0.155	true	1	45						1.195	0.764	N	N	Y	N
130	F10	false	10^4	IPC	UNKNOWN	VIC	NFQ-MGB	26.653	26.653					true	0.040	true	1	45						1.056	0.909	N	N	Y	N
130	F10	false	10^4	necator_americanus	UNKNOWN	FAM	NFQ-MGB	24.823	24.823					true	0.122	true	1	45						1.216	0.977	N	N	Y	N
131	F11	false	10^4	IPC	UNKNOWN	VIC	NFQ-MGB	26.719	26.719					true	0.040	true	1	45						1.083	0.925	N	N	Y	N
131	F11	false	10^4	norovirus_gi	UNKNOWN	FAM	NFQ-MGB	27.679	27.679					true	0.125	true	1	45						1.215	0.930	N	N	Y	N
132	F12	false	10^4	IPC	UNKNOWN	VIC	NFQ-MGB	26.754	26.754					true	0.040	true	1	45						1.083	0.899	N	N	Y	N
132	F12	false	10^4	norovirus_gii	UNKNOWN	FAM	NFQ-MGB	27.149	27.149					true	0.136	true	1	45						1.208	0.974	N	N	Y	N
133	F13	false	10^4	IPC	UNKNOWN	VIC	NFQ-MGB	26.953	26.953					true	0.040	true	1	45						1.083	0.911	N	N	Y	N
133	F13	false	10^4	plesiomonas_shigeeloides	UNKNOWN	FAM	NFQ-MGB	22.640	22.640					true	0.211	true	1	45						1.285	0.980	N	N	Y	N
134	F14	false	10^4	IPC	UNKNOWN	VIC	NFQ-MGB	26.724	26.724					true	0.040	true	1	45						1.095	0.901	N	N	Y	N
134	F14	false	10^4	rotavirus	UNKNOWN	FAM	NFQ-MGB	28.380	28.380					true	0.245	true	1	45						1.323	0.961	N	N	Y	N
135	F15	false	10^4	IPC	UNKNOWN	VIC	NFQ-MGB	26.697	26.697					true	0.040	true	1	45						1.070	0.951	N	N	Y	N
135	F15	false	10^4	salmonella_enterica	UNKNOWN	FAM	NFQ-MGB	22.710	22.710					true	0.298	true	1	45						1.390	0.985	N	N	Y	N
136	F16	false	10^4	IPC	UNKNOWN	VIC	NFQ-MGB	26.566	26.566					true	0.040	true	1	45						1.072	0.925	N	N	Y	N
136	F16	false	10^4	sapovirus_i_ii_iv_v	UNKNOWN	FAM	NFQ-MGB	26.955	26.955					true	0.110	true	1	45						1.212	0.980	N	N	Y	N
137	F17	false	10^4	IPC	UNKNOWN	VIC	NFQ-MGB	26.212	26.212					true	0.040	true	1	45						1.050	0.927	N	N	Y	N
137	F17	false	10^4	sars_cov_2	UNKNOWN	FAM	NFQ-MGB	25.382	25.382					true	0.235	true	1	45						1.326	0.963	N	N	Y	N
138	F18	false	10^4	IPC	UNKNOWN	VIC	NFQ-MGB	26.854	26.854					true	0.040	true	1	45						1.062	0.917	N	N	Y	N
138	F18	false	10^4	shigella_eiec	UNKNOWN	FAM	NFQ-MGB	22.420	22.420					true	0.231	true	1	45						1.308	0.973	N	N	Y	N
139	F19	false	10^4	IPC	UNKNOWN	VIC	NFQ-MGB	26.477	26.477					true	0.040	true	1	45						1.055	0.942	N	N	Y	N
139	F19	false	10^4	stec_stx1	UNKNOWN	FAM	NFQ-MGB	23.879	23.879					true	0.244	true	1	45						1.377	0.979	N	N	Y	N
140	F20	false	10^4	IPC	UNKNOWN	VIC	NFQ-MGB	26.294	26.294					true	0.040	true	1	45						1.071	0.935	N	N	Y	N
140	F20	false	10^4	stec_stx2	UNKNOWN	FAM	NFQ-MGB	23.534	23.534					true	0.152	true	1	45						1.261	0.982	N	N	Y	N
141	F21	false	10^4	IPC	UNKNOWN	VIC	NFQ-MGB	26.983	26.983					true	0.040	true	1	45						1.008	0.904	N	N	Y	N
141	F21	false	10^4	strongyloides_stercolaris	UNKNOWN	FAM	NFQ-MGB	22.776	22.776					true	0.317	true	1	45						1.421	0.960	N	N	Y	N
142	F22	false	10^4	IPC	UNKNOWN	VIC	NFQ-MGB	27.289	27.289					true	0.040	true	1	45						0.990	0.922	N	N	Y	N
142	F22	false	10^4	tichuris_trichuira	UNKNOWN	FAM	NFQ-MGB	23.157	23.157					true	0.400	true	1	45						1.454	0.982	N	N	Y	N
143	F23	false	10^4	IPC	UNKNOWN	VIC	NFQ-MGB	26.526	26.526					true	0.040	true	1	45						1.036	0.879	N	N	Y	N
143	F23	false	10^4	yersinia_enterocolitica	UNKNOWN	FAM	NFQ-MGB	21.988	21.988					true	0.115	true	1	45						1.191	0.968	N	N	Y	N
144	F24	false	10^4	IPC	UNKNOWN	VIC	NFQ-MGB	27.112	27.112					true	0.040	true	1	45						1.040	0.939	N	N	Y	N
144	F24	false	10^4	zika	UNKNOWN	FAM	NFQ-MGB	27.478	27.478					true	0.260	true	1	45						1.354	0.959	N	N	Y	N
145	G1	false	10^3	16s	UNKNOWN	FAM	NFQ-MGB	22.833	22.833					true	0.042	true	1	45						1.002	0.820	N	N	Y	N
145	G1	false	10^3	IPC	UNKNOWN	VIC	NFQ-MGB	27.462	27.462					true	0.040	true	1	45						1.059	0.925	N	N	Y	N
146	G2	false	10^3	IPC	UNKNOWN	VIC	NFQ-MGB	27.223	27.223					true	0.040	true	1	45						1.052	0.920	N	N	Y	N
146	G2	false	10^3	acanthamoeba_spp	UNKNOWN	FAM	NFQ-MGB	21.345	21.345					true	0.170	true	1	45						1.257	0.855	N	N	Y	N
147	G3	false	10^3	IPC	UNKNOWN	VIC	NFQ-MGB	27.095	27.095					true	0.040	true	1	45						1.070	0.888	N	N	Y	N
147	G3	false	10^3	adenovirus_40_41	UNKNOWN	FAM	NFQ-MGB	23.276	23.276					true	0.102	true	1	45						1.099	0.703	N	N	Y	N
148	G4	false	10^3	IPC	UNKNOWN	VIC	NFQ-MGB	26.408	26.408					true	0.040	true	1	45						1.061	0.909	N	N	Y	N
148	G4	false	10^3	anclyostoma_duoenale	UNKNOWN	FAM	NFQ-MGB	25.204	25.204					true	0.232	true	1	45						1.336	0.973	N	N	Y	N
149	G5	false	10^3	IPC	UNKNOWN	VIC	NFQ-MGB	26.776	26.776					true	0.040	true	1	45						1.074	0.895	N	Y	Y	N
149	G5	false	10^3	ascaris_lumbricoides	UNKNOWN	FAM	NFQ-MGB	Undetermined						true	0.040	true	1	45						0.000	0.000	N	Y	Y	N
150	G6	false	10^3	IPC	UNKNOWN	VIC	NFQ-MGB	26.463	26.463					true	0.040	true	1	45						1.073	0.920	N	N	Y	N
150	G6	false	10^3	astrovirus	UNKNOWN	FAM	NFQ-MGB	32.117	32.117					true	0.246	true	1	45						1.248	0.931	N	N	Y	N
151	G7	false	10^3	IPC	UNKNOWN	VIC	NFQ-MGB	26.710	26.710					true	0.040	true	1	45						1.047	0.879	N	N	Y	N
151	G7	false	10^3	balantidium_coli	UNKNOWN	FAM	NFQ-MGB	24.723	24.723					true	0.411	true	1	45						1.455	0.987	N	N	Y	N
152	G8	false	10^3	IPC	UNKNOWN	VIC	NFQ-MGB	26.279	26.279					true	0.040	true	1	45						1.068	0.952	N	N	Y	N
152	G8	false	10^3	bhv	UNKNOWN	FAM	NFQ-MGB	23.194	23.194					true	0.054	true	1	45						0.956	0.697	N	N	Y	N
153	G9	false	10^3	IPC	UNKNOWN	VIC	NFQ-MGB	26.646	26.646					true	0.040	true	1	45						1.029	0.936	N	N	Y	N
153	G9	false	10^3	blastocystis_spp	UNKNOWN	FAM	NFQ-MGB	21.715	21.715					true	0.106	true	1	45						1.088	0.911	N	N	Y	N
154	G10	false	10^3	IPC	UNKNOWN	VIC	NFQ-MGB	26.706	26.706					true	0.040	true	1	45						1.091	0.890	N	N	Y	N
154	G10	false	10^3	brsv	UNKNOWN	FAM	NFQ-MGB	30.791	30.791					true	0.309	true	1	45						1.358	0.963	N	N	Y	N
155	G11	false	10^3	18s	UNKNOWN	FAM	NFQ-MGB	33.723	33.723					true	0.153	true	1	45						1.225	0.974	N	N	Y	N
155	G11	false	10^3	IPC	UNKNOWN	VIC	NFQ-MGB	27.046	27.046					true	0.040	true	1	45						1.087	0.860	N	N	Y	N
156	G12	false	10^3	IPC	UNKNOWN	VIC	NFQ-MGB	26.526	26.526					true	0.040	true	1	45						1.066	0.940	N	N	Y	N
156	G12	false	10^3	c_jejuni_c_coli	UNKNOWN	FAM	NFQ-MGB	23.697	23.697					true	0.203	true	1	45						1.326	0.975	N	N	Y	N
157	G13	false	10^3	IPC	UNKNOWN	VIC	NFQ-MGB	27.183	27.183					true	0.040	true	1	45						0.978	0.904	N	N	Y	N
157	G13	false	10^3	clostridium_difficile	UNKNOWN	FAM	NFQ-MGB	22.755	22.755					true	0.162	true	1	45						1.322	0.976	N	N	Y	N
158	G14	false	10^3	IPC	UNKNOWN	VIC	NFQ-MGB	26.740	26.740					true	0.040	true	1	45						1.066	0.879	N	N	Y	N
158	G14	false	10^3	cryptosporidium_spp	UNKNOWN	FAM	NFQ-MGB	23.637	23.637					true	0.133	true	1	45						1.188	0.953	N	N	Y	N
159	G15	false	10^3	IPC	UNKNOWN	VIC	NFQ-MGB	25.674	25.674					true	0.040	true	1	45						1.077	0.940	N	N	Y	N
159	G15	false	10^3	cyclospora_cayetanesis	UNKNOWN	FAM	NFQ-MGB	23.245	23.245					true	0.228	true	1	45						1.275	0.981	N	N	Y	N
160	G16	false	10^3	IPC	UNKNOWN	VIC	NFQ-MGB	26.875	26.875					true	0.040	true	1	45						1.080	0.919	N	N	Y	N
160	G16	false	10^3	e_coli_ybbW	UNKNOWN	FAM	NFQ-MGB	31.739	31.739					true	0.289	true	1	45						1.327	0.974	N	N	Y	N
161	G17	false	10^3	IPC	UNKNOWN	VIC	NFQ-MGB	26.925	26.925					true	0.040	true	1	45						0.908	0.728	N	N	Y	N
161	G17	false	10^3	e_coli_0157H7	UNKNOWN	FAM	NFQ-MGB	23.062	23.062					true	0.192	true	1	45						1.350	0.972	N	N	Y	N
162	G18	false	10^3	IPC	UNKNOWN	VIC	NFQ-MGB	25.485	25.485					true	0.040	true	1	45						1.080	0.957	N	N	Y	N
162	G18	false	10^3	eaec_aaic	UNKNOWN	FAM	NFQ-MGB	18.992	18.992					true	0.115	true	1	45						1.210	0.902	N	N	Y	N
163	G19	false	10^3	IPC	UNKNOWN	VIC	NFQ-MGB	26.356	26.356					true	0.040	true	1	45						1.036	0.900	N	N	Y	N
163	G19	false	10^3	eaec_aata	UNKNOWN	FAM	NFQ-MGB	19.655	19.655					true	0.040	true	1	45						1.023	0.903	N	N	Y	N
164	G20	false	10^3	IPC	UNKNOWN	VIC	NFQ-MGB	26.641	26.641					true	0.040	true	1	45						1.055	0.932	N	N	Y	N
164	G20	false	10^3	entamoeba_histolytica	UNKNOWN	FAM	NFQ-MGB	25.832	25.832					true	0.208	true	1	45						1.205	0.939	N	N	Y	N
165	G21	false	10^3	IPC	UNKNOWN	VIC	NFQ-MGB	26.174	26.174					true	0.040	true	1	45						1.047	0.896	N	N	Y	N
165	G21	false	10^3	enterobius_verminularis	UNKNOWN	FAM	NFQ-MGB	24.221	24.221					true	0.356	true	1	45						1.401	0.967	N	N	Y	N
166	G22	false	10^3	IPC	UNKNOWN	VIC	NFQ-MGB	27.105	27.105					true	0.040	true	1	45						1.055	0.908	N	N	Y	N
166	G22	false	10^3	enterococcus_spp	UNKNOWN	FAM	NFQ-MGB	26.358	26.358					true	0.253	true	1	45						1.278	0.948	N	N	Y	N
167	G23	false	10^3	IPC	UNKNOWN	VIC	NFQ-MGB	26.714	26.714					true	0.040	true	1	45						1.046	0.882	N	N	Y	N
167	G23	false	10^3	epec_bfpa	UNKNOWN	FAM	NFQ-MGB	25.150	25.150					true	0.158	true	1	45						1.246	0.978	N	N	Y	N
168	G24	false	10^3	IPC	UNKNOWN	VIC	NFQ-MGB	26.531	26.531					true	0.040	true	1	45						1.059	0.953	N	N	Y	N
168	G24	false	10^3	epec_eae	UNKNOWN	FAM	NFQ-MGB	26.348	26.348					true	0.223	true	1	45						1.315	0.971	N	N	Y	N
169	H1	false	10^3	IPC	UNKNOWN	VIC	NFQ-MGB	27.698	27.698					true	0.040	true	1	45						0.720	0.860	N	N	Y	N
169	H1	false	10^3	etec_lt	UNKNOWN	FAM	NFQ-MGB	25.604	25.604					true	0.203	true	1	45						1.311	0.987	N	N	Y	N
170	H2	false	10^3	IPC	UNKNOWN	VIC	NFQ-MGB	26.966	26.966					true	0.040	true	1	45						1.059	0.941	N	N	Y	N
170	H2	false	10^3	etec_sth	UNKNOWN	FAM	NFQ-MGB	26.378	26.378					true	0.221	true	1	45						1.339	0.988	N	N	Y	N
171	H3	false	10^3	IPC	UNKNOWN	VIC	NFQ-MGB	26.802	26.802					true	0.040	true	1	45						1.054	0.858	N	N	Y	N
171	H3	false	10^3	etec_stp	UNKNOWN	FAM	NFQ-MGB	23.672	23.672					true	0.063	true	1	45						1.139	0.874	N	N	Y	N
172	H4	false	10^3	IPC	UNKNOWN	VIC	NFQ-MGB	26.640	26.640					true	0.040	true	1	45						1.052	0.868	N	N	Y	N
172	H4	false	10^3	giardia_spp	UNKNOWN	FAM	NFQ-MGB	25.253	25.253					true	0.191	true	1	45						1.272	0.833	N	N	Y	N
173	H5	false	10^3	IPC	UNKNOWN	VIC	NFQ-MGB	26.748	26.748					true	0.040	true	1	45						1.071	0.900	N	N	Y	N
173	H5	false	10^3	helicobactor_pylori	UNKNOWN	FAM	NFQ-MGB	25.452	25.452					true	0.162	true	1	45						1.219	0.910	N	N	Y	N
174	H6	false	10^3	IPC	UNKNOWN	VIC	NFQ-MGB	26.875	26.875					true	0.040	true	1	45						1.090	0.924	N	N	Y	N
174	H6	false	10^3	hep_a	UNKNOWN	FAM	NFQ-MGB	30.517	30.517					true	0.152	true	1	45						1.229	0.982	N	N	Y	N
175	H7	false	10^3	IPC	UNKNOWN	VIC	NFQ-MGB	26.517	26.517					true	0.040	true	1	45						1.100	0.908	N	N	Y	N
175	H7	false	10^3	hep_g	UNKNOWN	FAM	NFQ-MGB	27.194	27.194					true	0.255	true	1	45						1.356	0.983	N	N	Y	N
176	H8	false	10^3	IPC	UNKNOWN	VIC	NFQ-MGB	26.667	26.667					true	0.040	true	1	45						1.077	0.878	N	N	Y	N
176	H8	false	10^3	hf183	UNKNOWN	FAM	NFQ-MGB	26.101	26.101					true	0.192	true	1	45						1.285	0.982	N	N	Y	N
177	H9	false	10^3	IPC	UNKNOWN	VIC	NFQ-MGB	26.240	26.240					true	0.040	true	1	45						1.096	0.956	N	N	Y	N
177	H9	false	10^3	human_mtdna	UNKNOWN	FAM	NFQ-MGB	26.025	26.025					true	0.155	true	1	45						1.209	0.858	N	N	Y	N
178	H10	false	10^3	IPC	UNKNOWN	VIC	NFQ-MGB	26.483	26.483					true	0.040	true	1	45						1.073	0.905	N	N	Y	N
178	H10	false	10^3	necator_americanus	UNKNOWN	FAM	NFQ-MGB	28.164	28.164					true	0.122	true	1	45						1.214	0.971	N	N	Y	N
179	H11	false	10^3	IPC	UNKNOWN	VIC	NFQ-MGB	26.466	26.466					true	0.040	true	1	45						1.082	0.927	N	N	Y	N
179	H11	false	10^3	norovirus_gi	UNKNOWN	FAM	NFQ-MGB	31.296	31.296					true	0.125	true	1	45						1.194	0.978	N	N	Y	N
180	H12	false	10^3	IPC	UNKNOWN	VIC	NFQ-MGB	26.572	26.572					true	0.040	true	1	45						1.087	0.904	N	N	Y	N
180	H12	false	10^3	norovirus_gii	UNKNOWN	FAM	NFQ-MGB	30.504	30.504					true	0.136	true	1	45						1.206	0.971	N	N	Y	N
181	H13	false	10^3	IPC	UNKNOWN	VIC	NFQ-MGB	26.350	26.350					true	0.040	true	1	45						1.087	0.912	N	N	Y	N
181	H13	false	10^3	plesiomonas_shigeeloides	UNKNOWN	FAM	NFQ-MGB	25.885	25.885					true	0.211	true	1	45						1.272	0.978	N	N	Y	N
182	H14	false	10^3	IPC	UNKNOWN	VIC	NFQ-MGB	27.124	27.124					true	0.040	true	1	45						1.085	0.901	N	N	Y	N
182	H14	false	10^3	rotavirus	UNKNOWN	FAM	NFQ-MGB	31.335	31.335					true	0.245	true	1	45						1.312	0.964	N	N	Y	N
