Well	Well Position	Omit	Sample Name	Target Name	Task	Reporter	Quencher	CT	Ct Mean	Ct SD	Quantity	Quantity Mean	Quantity SD	Automatic Ct Threshold	Ct Threshold	Automatic Baseline	Baseline Start	Baseline End	Comments	Y-Intercept	R(superscript 2)	Slope	Efficiency	Amp Score	Cq Conf	BADROX	NOAMP	EXPFAIL	THOLDFAIL	PRFLOW	PRFDROP
86	D14	false	10^5	rotavirus	UNKNOWN	FAM	NFQ-MGB	25.425	25.425					true	0.156	true	1	45						1.294	0.931	N	N	N	Y	N	N
87	D15	false	10^5	IPC	UNKNOWN	VIC	NFQ-MGB	25.546	25.546					true	0.040	true	1	45						1.081	0.882	N	N	N	Y	N	N
87	D15	false	10^5	salmonella_enterica	UNKNOWN	FAM	NFQ-MGB	19.402	19.402					true	0.226	true	1	45						1.383	0.991	N	N	N	Y	N	N
88	D16	false	10^5	IPC	UNKNOWN	VIC	NFQ-MGB	26.982	26.982					true	0.040	true	1	45						1.075	0.858	N	N	N	Y	N	N
88	D16	false	10^5	sapovirus_i_ii_iv_v	UNKNOWN	FAM	NFQ-MGB	23.979	23.979					true	0.087	true	1	45						1.218	0.960	N	N	N	Y	N	N
89	D17	false	10^5	IPC	UNKNOWN	VIC	NFQ-MGB	25.194	25.194					true	0.040	true	1	45						1.016	0.744	N	N	N	Y	N	N
89	D17	false	10^5	sars_cov_2	UNKNOWN	FAM	NFQ-MGB	22.166	22.166					true	0.125	true	1	45						1.287	0.806	N	N	N	Y	N	N
90	D18	false	10^5	IPC	UNKNOWN	VIC	NFQ-MGB	27.014	27.014					true	0.040	true	1	45						1.071	0.891	N	N	N	Y	N	N
90	D18	false	10^5	shigella_eiec	UNKNOWN	FAM	NFQ-MGB	19.764	19.764					true	0.164	true	1	45						1.276	0.848	N	N	N	Y	N	N
91	D19	false	10^5	IPC	UNKNOWN	VIC	NFQ-MGB	26.817	26.817					true	0.040	true	1	45						1.044	0.872	N	N	N	Y	N	N
91	D19	false	10^5	stec_stx1	UNKNOWN	FAM	NFQ-MGB	20.866	20.866					true	0.205	true	1	45						1.369	0.938	N	N	N	Y	N	N
92	D20	false	10^5	IPC	UNKNOWN	VIC	NFQ-MGB	26.152	26.152					true	0.040	true	1	45						1.075	0.867	N	N	N	Y	N	N
92	D20	false	10^5	stec_stx2	UNKNOWN	FAM	NFQ-MGB	20.277	20.277					true	0.143	true	1	45						1.273	0.904	N	N	N	Y	N	N
93	D21	false	10^5	IPC	UNKNOWN	VIC	NFQ-MGB	25.857	25.857					true	0.040	true	1	45						0.942	0.583	N	N	N	Y	N	N
93	D21	false	10^5	strongyloides_stercolaris	UNKNOWN	FAM	NFQ-MGB	19.651	19.651					true	0.201	true	1	45						1.409	0.885	N	N	N	Y	N	N
94	D22	false	10^5	IPC	UNKNOWN	VIC	NFQ-MGB	27.175	27.175					true	0.040	true	1	45						0.957	0.738	N	N	N	Y	N	N
94	D22	false	10^5	tichuris_trichuira	UNKNOWN	FAM	NFQ-MGB	20.384	20.384					true	0.352	true	1	45						1.452	0.936	N	N	N	Y	N	N
95	D23	false	10^5	IPC	UNKNOWN	VIC	NFQ-MGB	26.458	26.458					true	0.040	true	1	45						1.050	0.889	N	N	N	Y	N	N
95	D23	false	10^5	yersinia_enterocolitica	UNKNOWN	FAM	NFQ-MGB	18.852	18.852					true	0.080	true	1	45						1.162	0.841	N	N	N	Y	N	N
96	D24	false	10^5	IPC	UNKNOWN	VIC	NFQ-MGB	27.500	27.500					true	0.040	true	1	45						1.028	0.858	N	N	N	Y	N	N
96	D24	false	10^5	zika	UNKNOWN	FAM	NFQ-MGB	24.644	24.644					true	0.192	true	1	45						1.308	0.980	N	N	N	Y	N	N
97	E1	false	10^4	16s	UNKNOWN	FAM	NFQ-MGB	17.526	17.526					true	0.040	true	1	45						0.963	0.576	N	N	N	Y	N	N
97	E1	false	10^4	IPC	UNKNOWN	VIC	NFQ-MGB	26.807	26.807					true	0.040	true	1	45						1.075	0.870	N	N	N	Y	N	N
98	E2	false	10^4	IPC	UNKNOWN	VIC	NFQ-MGB	26.402	26.402					true	0.040	true	1	45						1.073	0.901	N	N	N	Y	N	N
98	E2	false	10^4	acanthamoeba_spp	UNKNOWN	FAM	NFQ-MGB	18.275	18.275					true	0.130	true	1	45						1.253	0.766	N	N	N	Y	N	N
99	E3	false	10^4	IPC	UNKNOWN	VIC	NFQ-MGB	26.825	26.825					true	0.040	true	1	45						1.087	0.924	N	N	N	Y	N	N
99	E3	false	10^4	adenovirus_40_41	UNKNOWN	FAM	NFQ-MGB	19.398	19.398					true	0.045	true	1	45						1.086	0.541	N	N	N	Y	N	N
100	E4	false	10^4	IPC	UNKNOWN	VIC	NFQ-MGB	24.892	24.892					true	0.040	true	1	45						1.026	0.726	N	N	N	Y	N	N
100	E4	false	10^4	anclyostoma_duoenale	UNKNOWN	FAM	NFQ-MGB	20.711	20.711					true	0.165	true	1	45						1.316	0.926	N	N	N	Y	N	N
101	E5	false	10^4	IPC	UNKNOWN	VIC	NFQ-MGB	26.089	26.089					true	0.040	true	1	45						1.086	0.952	Y	N	N	Y	N	Y
101	E5	false	10^4	ascaris_lumbricoides	UNKNOWN	FAM	NFQ-MGB	23.605	23.605					true	0.040	true	1	45						0.679	0.650	Y	N	N	Y	N	Y
102	E6	false	10^4	IPC	UNKNOWN	VIC	NFQ-MGB	26.580	26.580					true	0.040	true	1	45						1.075	0.858	N	N	N	Y	N	N
102	E6	false	10^4	astrovirus	UNKNOWN	FAM	NFQ-MGB	28.959	28.959					true	0.101	true	1	45						1.217	0.868	N	N	N	Y	N	N
103	E7	false	10^4	IPC	UNKNOWN	VIC	NFQ-MGB	27.336	27.336					true	0.040	true	1	45						1.012	0.877	N	N	N	Y	N	N
103	E7	false	10^4	balantidium_coli	UNKNOWN	FAM	NFQ-MGB	18.970	18.970					true	0.316	true	1	45						1.406	0.944	N	N	N	Y	N	N
104	E8	false	10^4	IPC	UNKNOWN	VIC	NFQ-MGB	26.223	26.223					true	0.040	true	1	45						1.084	0.893	N	N	N	Y	N	N
104	E8	false	10^4	bhv	UNKNOWN	FAM	NFQ-MGB	18.721	18.721					true	0.040	true	1	45						0.969	0.555	N	N	N	Y	N	N
105	E9	false	10^4	IPC	UNKNOWN	VIC	NFQ-MGB	27.246	27.246					true	0.040	true	1	45						0.998	0.801	N	N	N	Y	N	N
105	E9	false	10^4	blastocystis_spp	UNKNOWN	FAM	NFQ-MGB	20.701	20.701					true	0.040	true	1	45						1.047	0.753	N	N	N	Y	N	N
106	E10	false	10^4	IPC	UNKNOWN	VIC	NFQ-MGB	26.549	26.549					true	0.040	true	1	45						1.096	0.907	N	N	N	Y	N	N
106	E10	false	10^4	brsv	UNKNOWN	FAM	NFQ-MGB	27.591	27.591					true	0.155	true	1	45						1.316	0.906	N	N	N	Y	N	N
107	E11	false	10^4	18s	UNKNOWN	FAM	NFQ-MGB	33.749	33.749					true	0.121	true	1	45						1.167	0.918	N	N	N	Y	N	N
107	E11	false	10^4	IPC	UNKNOWN	VIC	NFQ-MGB	26.731	26.731					true	0.040	true	1	45						1.087	0.851	N	N	N	Y	N	N
108	E12	false	10^4	IPC	UNKNOWN	VIC	NFQ-MGB	26.153	26.153					true	0.040	true	1	45						1.053	0.884	N	N	N	Y	N	N
108	E12	false	10^4	c_jejuni_c_coli	UNKNOWN	FAM	NFQ-MGB	20.693	20.693					true	0.111	true	1	45						1.290	0.959	N	N	N	Y	N	N
109	E13	false	10^4	IPC	UNKNOWN	VIC	NFQ-MGB	27.277	27.277					true	0.040	true	1	45						0.916	0.571	N	N	N	Y	N	N
109	E13	false	10^4	clostridium_difficile	UNKNOWN	FAM	NFQ-MGB	20.305	20.305					true	0.122	true	1	45						1.310	0.910	N	N	N	Y	N	N
110	E14	false	10^4	IPC	UNKNOWN	VIC	NFQ-MGB	26.238	26.238					true	0.040	true	1	45						1.050	0.882	N	N	N	Y	N	N
110	E14	false	10^4	cryptosporidium_spp	UNKNOWN	FAM	NFQ-MGB	18.282	18.282					true	0.062	true	1	45						1.175	0.812	N	N	N	Y	N	N
111	E15	false	10^4	IPC	UNKNOWN	VIC	NFQ-MGB	25.394	25.394					true	0.040	true	1	45						1.094	0.856	N	N	N	Y	N	N
111	E15	false	10^4	cyclospora_cayetanesis	UNKNOWN	FAM	NFQ-MGB	19.248	19.248					true	0.132	true	1	45						1.256	0.855	N	N	N	Y	N	N
112	E16	false	10^4	IPC	UNKNOWN	VIC	NFQ-MGB	25.656	25.656					true	0.040	true	1	45						1.088	0.874	N	N	N	Y	N	N
112	E16	false	10^4	e_coli_ybbW	UNKNOWN	FAM	NFQ-MGB	29.387	29.387					true	0.218	true	1	45						1.304	0.974	N	N	N	Y	N	N
113	E17	false	10^4	IPC	UNKNOWN	VIC	NFQ-MGB	27.596	27.596					true	0.040	true	1	45						0.787	0.503	N	N	N	Y	N	N
113	E17	false	10^4	e_coli_0157H7	UNKNOWN	FAM	NFQ-MGB	20.777	20.777					true	0.131	true	1	45						1.340	0.862	N	N	N	Y	N	N
114	E18	false	10^4	IPC	UNKNOWN	VIC	NFQ-MGB	26.584	26.584					true	0.040	true	1	45						1.073	0.887	N	N	N	Y	N	N
114	E18	false	10^4	eaec_aaic	UNKNOWN	FAM	NFQ-MGB	19.382	19.382					true	0.040	true	1	45						1.195	0.664	N	N	N	Y	N	N
115	E19	false	10^4	IPC	UNKNOWN	VIC	NFQ-MGB	26.965	26.965					true	0.040	true	1	45						1.026	0.885	N	N	N	Y	N	N
115	E19	false	10^4	eaec_aata	UNKNOWN	FAM	NFQ-MGB	19.399	19.399					true	0.040	true	1	45						0.994	0.703	N	N	N	Y	N	N
116	E20	false	10^4	IPC	UNKNOWN	VIC	NFQ-MGB	26.642	26.642					true	0.040	true	1	45						1.065	0.908	N	N	N	Y	N	N
116	E20	false	10^4	entamoeba_histolytica	UNKNOWN	FAM	NFQ-MGB	20.600	20.600					true	0.094	true	1	45						1.193	0.724	N	N	N	Y	N	N
117	E21	false	10^4	IPC	UNKNOWN	VIC	NFQ-MGB	25.284	25.284					true	0.040	true	1	45						1.031	0.804	N	N	N	Y	N	N
117	E21	false	10^4	enterobius_verminularis	UNKNOWN	FAM	NFQ-MGB	20.210	20.210					true	0.240	true	1	45						1.373	0.939	N	N	N	Y	N	N
118	E22	false	10^4	IPC	UNKNOWN	VIC	NFQ-MGB	27.031	27.031					true	0.040	true	1	45						1.056	0.871	N	N	N	Y	N	N
118	E22	false	10^4	enterococcus_spp	UNKNOWN	FAM	NFQ-MGB	22.982	22.982					true	0.158	true	1	45						1.279	0.964	N	N	N	Y	N	N
119	E23	false	10^4	IPC	UNKNOWN	VIC	NFQ-MGB	26.390	26.390					true	0.040	true	1	45						1.021	0.893	N	N	N	Y	N	N
119	E23	false	10^4	epec_bfpa	UNKNOWN	FAM	NFQ-MGB	21.742	21.742					true	0.099	true	1	45						1.225	0.930	N	N	N	Y	N	N
120	E24	false	10^4	IPC	UNKNOWN	VIC	NFQ-MGB	25.523	25.523					true	0.040	true	1	45						1.076	0.808	N	N	N	Y	N	N
120	E24	false	10^4	epec_eae	UNKNOWN	FAM	NFQ-MGB	23.215	23.215					true	0.179	true	1	45						1.301	0.931	N	N	N	Y	N	N
121	F1	false	10^4	IPC	UNKNOWN	VIC	NFQ-MGB	26.583	26.583					true	0.040	true	1	45						0.917	0.832	N	N	N	Y	N	N
121	F1	false	10^4	etec_lt	UNKNOWN	FAM	NFQ-MGB	22.066	22.066					true	0.128	true	1	45						1.283	0.944	N	N	N	Y	N	N
122	F2	false	10^4	IPC	UNKNOWN	VIC	NFQ-MGB	26.572	26.572					true	0.040	true	1	45						1.060	0.877	N	N	N	Y	N	N
122	F2	false	10^4	etec_sth	UNKNOWN	FAM	NFQ-MGB	23.222	23.222					true	0.169	true	1	45						1.307	0.962	N	N	N	Y	N	N
123	F3	false	10^4	IPC	UNKNOWN	VIC	NFQ-MGB	25.904	25.904					true	0.040	true	1	45						1.066	0.942	N	N	N	Y	N	N
123	F3	false	10^4	etec_stp	UNKNOWN	FAM	NFQ-MGB	21.563	21.563					true	0.040	true	1	45						1.087	0.967	N	N	N	Y	N	N
124	F4	false	10^4	IPC	UNKNOWN	VIC	NFQ-MGB	26.754	26.754					true	0.040	true	1	45						1.060	0.878	N	N	N	Y	N	N
124	F4	false	10^4	giardia_spp	UNKNOWN	FAM	NFQ-MGB	21.965	21.965					true	0.147	true	1	45						1.239	0.715	N	N	N	Y	N	N
125	F5	false	10^4	IPC	UNKNOWN	VIC	NFQ-MGB	25.974	25.974					true	0.040	true	1	45						1.087	0.875	N	N	N	Y	N	N
125	F5	false	10^4	helicobactor_pylori	UNKNOWN	FAM	NFQ-MGB	22.281	22.281					true	0.085	true	1	45						1.211	0.781	N	N	N	Y	N	N
126	F6	false	10^4	IPC	UNKNOWN	VIC	NFQ-MGB	26.510	26.510					true	0.040	true	1	45						1.097	0.891	N	N	N	Y	N	N
126	F6	false	10^4	hep_a	UNKNOWN	FAM	NFQ-MGB	26.964	26.964					true	0.119	true	1	45						1.187	0.843	N	N	N	Y	N	N
127	F7	false	10^4	IPC	UNKNOWN	VIC	NFQ-MGB	26.460	26.460					true	0.040	true	1	45						1.107	0.885	N	N	N	Y	N	N
127	F7	false	10^4	hep_g	UNKNOWN	FAM	NFQ-MGB	27.191	27.191					true	0.201	true	1	45						1.291	0.966	N	N	N	Y	N	N
128	F8	false	10^4	IPC	UNKNOWN	VIC	NFQ-MGB	26.134	26.134					true	0.040	true	1	45						1.082	0.895	N	N	N	Y	N	N
128	F8	false	10^4	hf183	UNKNOWN	FAM	NFQ-MGB	22.667	22.667					true	0.138	true	1	45						1.263	0.874	N	N	N	Y	N	N
129	F9	false	10^4	IPC	UNKNOWN	VIC	NFQ-MGB	26.038	26.038					true	0.040	true	1	45						1.104	0.878	N	N	N	Y	N	N
129	F9	false	10^4	human_mtdna	UNKNOWN	FAM	NFQ-MGB	22.964	22.964					true	0.065	true	1	45						1.163	0.662	N	N	N	Y	N	N
130	F10	false	10^4	IPC	UNKNOWN	VIC	NFQ-MGB	26.618	26.618					true	0.040	true	1	45						1.065	0.881	N	N	N	Y	N	N
130	F10	false	10^4	necator_americanus	UNKNOWN	FAM	NFQ-MGB	24.986	24.986					true	0.073	true	1	45						1.157	0.930	N	N	N	Y	N	N
131	F11	false	10^4	IPC	UNKNOWN	VIC	NFQ-MGB	26.096	26.096					true	0.040	true	1	45						1.106	0.884	N	N	N	Y	N	N
131	F11	false	10^4	norovirus_gi	UNKNOWN	FAM	NFQ-MGB	27.804	27.804					true	0.096	true	1	45						1.163	0.914	N	N	N	Y	N	N
132	F12	false	10^4	IPC	UNKNOWN	VIC	NFQ-MGB	26.691	26.691					true	0.040	true	1	45						1.077	0.906	N	N	N	Y	N	N
132	F12	false	10^4	norovirus_gii	UNKNOWN	FAM	NFQ-MGB	27.260	27.260					true	0.103	true	1	45						1.153	0.938	N	N	N	Y	N	N
133	F13	false	10^4	IPC	UNKNOWN	VIC	NFQ-MGB	26.510	26.510					true	0.040	true	1	45						1.090	0.915	N	N	N	Y	N	N
133	F13	false	10^4	plesiomonas_shigeeloides	UNKNOWN	FAM	NFQ-MGB	22.433	22.433					true	0.134	true	1	45						1.250	0.891	N	N	N	Y	N	N
134	F14	false	10^4	IPC	UNKNOWN	VIC	NFQ-MGB	26.792	26.792					true	0.040	true	1	45						1.112	0.891	N	N	N	Y	N	N
134	F14	false	10^4	rotavirus	UNKNOWN	FAM	NFQ-MGB	28.243	28.243					true	0.156	true	1	45						1.272	0.933	N	N	N	Y	N	N
135	F15	false	10^4	IPC	UNKNOWN	VIC	NFQ-MGB	26.015	26.015					true	0.040	true	1	45						1.092	0.904	N	N	N	Y	N	N
135	F15	false	10^4	salmonella_enterica	UNKNOWN	FAM	NFQ-MGB	22.798	22.798					true	0.226	true	1	45						1.369	0.926	N	N	N	Y	N	N
136	F16	false	10^4	IPC	UNKNOWN	VIC	NFQ-MGB	26.982	26.982					true	0.040	true	1	45						1.091	0.880	N	N	N	Y	N	N
136	F16	false	10^4	sapovirus_i_ii_iv_v	UNKNOWN	FAM	NFQ-MGB	26.870	26.870					true	0.087	true	1	45						1.206	0.899	N	N	N	Y	N	N
137	F17	false	10^4	IPC	UNKNOWN	VIC	NFQ-MGB	26.780	26.780					true	0.040	true	1	45						1.058	0.862	N	N	N	Y	N	N
137	F17	false	10^4	sars_cov_2	UNKNOWN	FAM	NFQ-MGB	25.000	25.000					true	0.125	true	1	45						1.307	0.844	N	N	N	Y	N	N
138	F18	false	10^4	IPC	UNKNOWN	VIC	NFQ-MGB	26.723	26.723					true	0.040	true	1	45						1.072	0.898	N	N	N	Y	N	N
138	F18	false	10^4	shigella_eiec	UNKNOWN	FAM	NFQ-MGB	22.706	22.706					true	0.164	true	1	45						1.286	0.948	N	N	N	Y	N	N
139	F19	false	10^4	IPC	UNKNOWN	VIC	NFQ-MGB	26.625	26.625					true	0.040	true	1	45						1.066	0.850	N	N	N	Y	N	N
139	F19	false	10^4	stec_stx1	UNKNOWN	FAM	NFQ-MGB	24.065	24.065					true	0.205	true	1	45						1.356	0.981	N	N	N	Y	N	N
140	F20	false	10^4	IPC	UNKNOWN	VIC	NFQ-MGB	26.754	26.754					true	0.040	true	1	45						1.068	0.876	N	N	N	Y	N	N
140	F20	false	10^4	stec_stx2	UNKNOWN	FAM	NFQ-MGB	23.658	23.658					true	0.143	true	1	45						1.261	0.953	N	N	N	Y	N	N
141	F21	false	10^4	IPC	UNKNOWN	VIC	NFQ-MGB	25.844	25.844					true	0.040	true	1	45						1.019	0.846	N	N	N	Y	N	N
141	F21	false	10^4	strongyloides_stercolaris	UNKNOWN	FAM	NFQ-MGB	22.709	22.709					true	0.201	true	1	45						1.410	0.865	N	N	N	Y	N	N
142	F22	false	10^4	IPC	UNKNOWN	VIC	NFQ-MGB	26.681	26.681					true	0.040	true	1	45						1.001	0.909	N	N	N	Y	N	N
142	F22	false	10^4	tichuris_trichuira	UNKNOWN	FAM	NFQ-MGB	23.397	23.397					true	0.352	true	1	45						1.444	0.944	N	N	N	Y	N	N
143	F23	false	10^4	IPC	UNKNOWN	VIC	NFQ-MGB	26.751	26.751					true	0.040	true	1	45						1.052	0.907	N	N	N	Y	N	N
143	F23	false	10^4	yersinia_enterocolitica	UNKNOWN	FAM	NFQ-MGB	21.967	21.967					true	0.080	true	1	45						1.164	0.881	N	N	N	Y	N	N
144	F24	false	10^4	IPC	UNKNOWN	VIC	NFQ-MGB	26.993	26.993					true	0.040	true	1	45						1.060	0.873	N	N	N	Y	N	N
144	F24	false	10^4	zika	UNKNOWN	FAM	NFQ-MGB	27.655	27.655					true	0.192	true	1	45						1.303	0.981	N	N	N	Y	N	N
145	G1	false	10^3	16s	UNKNOWN	FAM	NFQ-MGB	23.279	23.279					true	0.040	true	1	45						0.942	0.728	N	N	N	Y	N	N
145	G1	false	10^3	IPC	UNKNOWN	VIC	NFQ-MGB	26.387	26.387					true	0.040	true	1	45						1.049	0.946	N	N	N	Y	N	N
146	G2	false	10^3	IPC	UNKNOWN	VIC	NFQ-MGB	25.331	25.331					true	0.040	true	1	45						1.058	0.953	Y	N	N	Y	N	Y
146	G2	false	10^3	acanthamoeba_spp	UNKNOWN	FAM	NFQ-MGB	23.000	23.000					true	0.130	true	1	45						1.185	0.979	Y	N	N	Y	N	Y
147	G3	false	10^3	IPC	UNKNOWN	VIC	NFQ-MGB	27.276	27.276					true	0.040	true	1	45						1.082	0.859	N	N	N	Y	N	N
147	G3	false	10^3	adenovirus_40_41	UNKNOWN	FAM	NFQ-MGB	23.535	23.535					true	0.045	true	1	45						1.064	0.589	N	N	N	Y	N	N
148	G4	false	10^3	IPC	UNKNOWN	VIC	NFQ-MGB	25.818	25.818					true	0.040	true	1	45						1.072	0.902	N	N	N	Y	N	N
148	G4	false	10^3	anclyostoma_duoenale	UNKNOWN	FAM	NFQ-MGB	25.087	25.087					true	0.165	true	1	45						1.288	0.926	N	N	N	Y	N	N
149	G5	false	10^3	IPC	UNKNOWN	VIC	NFQ-MGB	26.585	26.585					true	0.040	true	1	45						1.080	0.883	N	N	Y	Y	N	N
149	G5	false	10^3	ascaris_lumbricoides	UNKNOWN	FAM	NFQ-MGB	Undetermined						true	0.040	true	1	45						0.000	0.000	N	N	Y	Y	N	N
150	G6	false	10^3	IPC	UNKNOWN	VIC	NFQ-MGB	26.415	26.415					true	0.040	true	1	45						1.090	0.906	N	N	N	Y	N	N
150	G6	false	10^3	astrovirus	UNKNOWN	FAM	NFQ-MGB	30.631	30.631					true	0.101	true	1	45						1.197	0.907	N	N	N	Y	N	N
151	G7	false	10^3	IPC	UNKNOWN	VIC	NFQ-MGB	25.992	25.992					true	0.040	true	1	45						1.060	0.898	N	N	N	Y	N	N
151	G7	false	10^3	balantidium_coli	UNKNOWN	FAM	NFQ-MGB	23.261	23.261					true	0.316	true	1	45						1.406	0.969	N	N	N	Y	N	N
152	G8	false	10^3	IPC	UNKNOWN	VIC	NFQ-MGB	26.673	26.673					true	0.040	true	1	45						1.074	0.918	N	N	N	Y	N	N
152	G8	false	10^3	bhv	UNKNOWN	FAM	NFQ-MGB	26.537	26.537					true	0.040	true	1	45						0.922	0.574	N	N	N	Y	N	N
153	G9	false	10^3	IPC	UNKNOWN	VIC	NFQ-MGB	26.855	26.855					true	0.040	true	1	45						1.068	0.884	N	N	N	Y	N	N
153	G9	false	10^3	blastocystis_spp	UNKNOWN	FAM	NFQ-MGB	25.923	25.923					true	0.040	true	1	45						1.056	0.673	N	N	N	Y	N	N
154	G10	false	10^3	IPC	UNKNOWN	VIC	NFQ-MGB	26.665	26.665					true	0.040	true	1	45						1.093	0.875	N	N	N	Y	N	N
154	G10	false	10^3	brsv	UNKNOWN	FAM	NFQ-MGB	30.679	30.679					true	0.155	true	1	45						1.301	0.982	N	N	N	Y	N	N
155	G11	false	10^3	18s	UNKNOWN	FAM	NFQ-MGB	33.083	33.083					true	0.121	true	1	45						1.159	0.921	N	N	N	Y	N	N
155	G11	false	10^3	IPC	UNKNOWN	VIC	NFQ-MGB	26.531	26.531					true	0.040	true	1	45						1.093	0.843	N	N	N	Y	N	N
156	G12	false	10^3	IPC	UNKNOWN	VIC	NFQ-MGB	26.111	26.111					true	0.040	true	1	45						1.078	0.883	N	N	N	Y	N	N
156	G12	false	10^3	c_jejuni_c_coli	UNKNOWN	FAM	NFQ-MGB	23.583	23.583					true	0.111	true	1	45						1.296	0.947	N	N	N	Y	N	N
157	G13	false	10^3	IPC	UNKNOWN	VIC	NFQ-MGB	26.254	26.254					true	0.040	true	1	45						1.022	0.863	N	N	N	Y	N	N
157	G13	false	10^3	clostridium_difficile	UNKNOWN	FAM	NFQ-MGB	23.519	23.519					true	0.122	true	1	45						1.285	0.924	N	N	N	Y	N	N
158	G14	false	10^3	IPC	UNKNOWN	VIC	NFQ-MGB	26.289	26.289					true	0.040	true	1	45						1.069	0.887	N	N	N	Y	N	N
158	G14	false	10^3	cryptosporidium_spp	UNKNOWN	FAM	NFQ-MGB	20.028	20.028					true	0.062	true	1	45						1.180	0.821	N	N	N	Y	N	N
159	G15	false	10^3	IPC	UNKNOWN	VIC	NFQ-MGB	25.058	25.058					true	0.040	true	1	45						1.115	0.872	N	N	N	Y	N	N
159	G15	false	10^3	cyclospora_cayetanesis	UNKNOWN	FAM	NFQ-MGB	22.286	22.286					true	0.132	true	1	45						1.264	0.855	N	N	N	Y	N	N
160	G16	false	10^3	IPC	UNKNOWN	VIC	NFQ-MGB	26.674	26.674					true	0.040	true	1	45						1.092	0.899	N	N	N	Y	N	N
160	G16	false	10^3	e_coli_ybbW	UNKNOWN	FAM	NFQ-MGB	32.539	32.539					true	0.218	true	1	45						1.283	0.930	N	N	N	Y	N	N
161	G17	false	10^3	IPC	UNKNOWN	VIC	NFQ-MGB	27.041	27.041					true	0.040	true	1	45						0.939	0.680	N	N	N	Y	N	N
161	G17	false	10^3	e_coli_0157H7	UNKNOWN	FAM	NFQ-MGB	23.457	23.457					true	0.131	true	1	45						1.348	0.861	N	N	N	Y	N	N
162	G18	false	10^3	IPC	UNKNOWN	VIC	NFQ-MGB	26.280	26.280					true	0.040	true	1	45						1.085	0.892	N	N	N	Y	N	N
162	G18	false	10^3	eaec_aaic	UNKNOWN	FAM	NFQ-MGB	21.031	21.031					true	0.040	true	1	45						1.194	0.881	N	N	N	Y	N	N
163	G19	false	10^3	IPC	UNKNOWN	VIC	NFQ-MGB	26.431	26.431					true	0.040	true	1	45						1.053	0.899	N	N	N	Y	N	N
163	G19	false	10^3	eaec_aata	UNKNOWN	FAM	NFQ-MGB	23.290	23.290					true	0.040	true	1	45						1.004	0.626	N	N	N	Y	N	N
164	G20	false	10^3	IPC	UNKNOWN	VIC	NFQ-MGB	26.435	26.435					true	0.040	true	1	45						1.064	0.891	N	N	N	Y	N	N
164	G20	false	10^3	entamoeba_histolytica	UNKNOWN	FAM	NFQ-MGB	25.644	25.644					true	0.094	true	1	45						1.199	0.766	N	N	N	Y	N	N
165	G21	false	10^3	IPC	UNKNOWN	VIC	NFQ-MGB	26.352	26.352					true	0.040	true	1	45						1.039	0.904	N	N	N	Y	N	N
165	G21	false	10^3	enterobius_verminularis	UNKNOWN	FAM	NFQ-MGB	24.532	24.532					true	0.240	true	1	45						1.383	0.904	N	N	N	Y	N	N
166	G22	false	10^3	IPC	UNKNOWN	VIC	NFQ-MGB	26.811	26.811					true	0.040	true	1	45						1.077	0.867	N	N	N	Y	N	N
166	G22	false	10^3	enterococcus_spp	UNKNOWN	FAM	NFQ-MGB	26.024	26.024					true	0.158	true	1	45						1.269	0.972	N	N	N	Y	N	N
167	G23	false	10^3	IPC	UNKNOWN	VIC	NFQ-MGB	25.471	25.471					true	0.040	true	1	45						1.072	0.893	N	N	N	Y	N	N
167	G23	false	10^3	epec_bfpa	UNKNOWN	FAM	NFQ-MGB	24.884	24.884					true	0.099	true	1	45						1.228	0.882	N	N	N	Y	N	N
168	G24	false	10^3	IPC	UNKNOWN	VIC	NFQ-MGB	26.401	26.401					true	0.040	true	1	45						1.073	0.788	N	N	N	Y	N	N
168	G24	false	10^3	epec_eae	UNKNOWN	FAM	NFQ-MGB	26.340	26.340					true	0.179	true	1	45						1.295	0.843	N	N	N	Y	N	N
169	H1	false	10^3	IPC	UNKNOWN	VIC	NFQ-MGB	29.071	29.071					true	0.040	true	1	45						0.645	0.300	N	N	N	Y	N	N
169	H1	false	10^3	etec_lt	UNKNOWN	FAM	NFQ-MGB	25.264	25.264					true	0.128	true	1	45						1.242	0.916	N	N	N	Y	N	N
170	H2	false	10^3	IPC	UNKNOWN	VIC	NFQ-MGB	26.774	26.774					true	0.040	true	1	45						1.079	0.910	N	N	N	Y	N	N
170	H2	false	10^3	etec_sth	UNKNOWN	FAM	NFQ-MGB	26.523	26.523					true	0.169	true	1	45						1.316	0.905	N	N	N	Y	N	N
171	H3	false	10^3	IPC	UNKNOWN	VIC	NFQ-MGB	26.442	26.442					true	0.040	true	1	45						1.077	0.914	N	N	N	Y	N	N
171	H3	false	10^3	etec_stp	UNKNOWN	FAM	NFQ-MGB	24.453	24.453					true	0.040	true	1	45						1.092	0.949	N	N	N	Y	N	N
172	H4	false	10^3	IPC	UNKNOWN	VIC	NFQ-MGB	26.797	26.797					true	0.040	true	1	45						1.071	0.872	N	N	N	Y	N	N
172	H4	false	10^3	giardia_spp	UNKNOWN	FAM	NFQ-MGB	25.198	25.198					true	0.147	true	1	45						1.216	0.823	N	N	N	Y	N	N
173	H5	false	10^3	IPC	UNKNOWN	VIC	NFQ-MGB	26.685	26.685					true	0.040	true	1	45						1.094	0.906	N	N	N	Y	N	N
